slug,title,domain,difficulty,skills,description,portfolio_value,project_type,target_roles
cloud-storage-pipeline,Cloud Data Storage Pipeline,Cloud,Intermediate,"AWS Solutions Architect,ETL Pipeline Development","Design a pipeline that ingests, stores, and serves data using real cloud storage services — architecture you can defend in an interview.",High,cloud,Cloud Engineer;Data Engineer
multi-cloud-static-site,Static Site Deployed Across Two Clouds,Cloud,Beginner,"Azure Fundamentals,Google Cloud Platform Basics","Deploy the same static site on two different cloud providers and document the tradeoffs — a fast, real way to learn both platforms.",Medium,cloud,Cloud Engineer
vuln-scanner-basic,Basic Vulnerability Scanner,Security,Intermediate,"Cybersecurity Fundamentals,Ethical Hacking Basics","Build a script that scans a target for common, well-known misconfigurations and produces a real findings report.",High,security,Cybersecurity Engineer
log-analysis-security,Security Log Analysis Tool,Security,Intermediate,"Cybersecurity Fundamentals,SQL for Beginners",Parse and analyze real (or realistic sample) server logs to flag suspicious access patterns — a genuinely useful SOC-style project.,Medium,security,Cybersecurity Engineer
auth-audit-project,Authentication Security Audit,Security,Advanced,"Ethical Hacking Basics,REST API Design Principles","Audit a sample API's authentication flow for common weaknesses and document a remediation plan — practical, portfolio-defensible work.",High,security,Cybersecurity Engineer;Backend Developer
nft-marketplace-contract,Simple NFT Smart Contract,Blockchain,Intermediate,"Smart Contract Programming with Solidity,Blockchain Development","Write and deploy a minimal NFT smart contract to a testnet, with a small frontend to mint and view tokens.",High,blockchain,Blockchain Developer
token-swap-dapp,Token Swap dApp,Blockchain,Advanced,"Smart Contract Programming with Solidity,React.js Development",Build a decentralized app that lets users swap between two custom tokens — contract plus a connected frontend.,High,blockchain,Blockchain Developer;Full Stack Developer
sales-analytics-dashboard,Sales Analytics Dashboard,Data Analytics,Beginner,"Power BI Dashboard Creation,Excel for Data Analysis",Build a sales dashboard from a real or public dataset that answers three concrete business questions with visuals.,High,analysis,Data Analyst
customer-segmentation-tableau,Customer Segmentation Dashboard (Tableau),Data Analytics,Intermediate,"Tableau for Business Analytics,Exploratory Data Analysis",Segment customers from a real dataset and present the segments as an interactive Tableau dashboard a stakeholder could actually use.,High,analysis,Data Analyst
ab-test-analysis,A/B Test Result Analysis,Data Analytics,Intermediate,"Statistical Analysis with R,Probability and Statistics","Analyze a real or public A/B test dataset and write up a statistically grounded recommendation — shows real analyst judgment, not just charts.",Medium,analysis,Data Analyst;Data Scientist
etl-pipeline-project,End-to-End ETL Pipeline,Data Engineering,Intermediate,"ETL Pipeline Development,Data Warehouse Design","Build a pipeline that extracts data from a source, transforms it, and loads it into a warehouse schema you designed.",High,data-engineering,Data Engineer
realtime-stream-pipeline,Real-Time Data Stream Pipeline,Data Engineering,Advanced,"Apache Kafka for Real-time Data,Data Engineering with Apache Spark",Build a streaming pipeline that ingests and processes events in near-real-time — the project that separates data engineers from analysts.,High,data-engineering,Data Engineer
data-warehouse-schema,Data Warehouse Schema Design,Data Engineering,Intermediate,"Data Warehouse Design,Advanced SQL and Query Optimization","Design and implement a star-schema warehouse for a real dataset, with queries that prove the schema actually performs.",Medium,data-engineering,Data Engineer
iot-sensor-dashboard,IoT Sensor Dashboard (Raspberry Pi),Systems,Intermediate,"IoT with Raspberry Pi,Embedded Systems Programming","Wire up real sensors to a Raspberry Pi and stream readings to a small live dashboard — hardware plus software, end to end.",High,systems,Systems Engineer
embedded-automation-project,Embedded Automation Project,Systems,Advanced,"Embedded Systems Programming,IoT with Raspberry Pi","Build a small embedded system that automates a real physical task, with documented hardware and firmware decisions.",Medium,systems,Systems Engineer
database-performance-project,Database Performance Tuning Case Study,Databases,Advanced,"Database Performance Tuning,Advanced SQL and Query Optimization","Take a slow, realistic query set and document the indexing/schema changes that measurably improved performance.",Medium,database,Backend Developer;Data Engineer
redis-cache-layer,Caching Layer with Redis,Databases,Intermediate,"Redis Caching Strategies,PostgreSQL Database Design",Add a Redis caching layer in front of a real database-backed API and measure the actual performance difference.,Medium,database,Backend Developer;Full Stack Developer
house-price-predictor,House Price Predictor,Machine Learning,Intermediate,"Machine Learning Fundamentals,Data Analysis with Pandas","Train and evaluate a regression model on housing data, with proper feature engineering and an honest discussion of its errors.",High,ml,Machine Learning Engineer;Data Scientist
churn-classifier,Customer Churn Classifier,Machine Learning,Intermediate,"Machine Learning Fundamentals,Probability and Statistics","Build a classifier that predicts customer churn, and report precision/recall — not just accuracy — with reasoning for the tradeoff you chose.",High,ml,Machine Learning Engineer;Data Scientist
image-classifier,Image Classifier with a Pretrained CNN,Deep Learning,Advanced,Deep Learning with TensorFlow,Fine-tune a pretrained CNN on a small image dataset and document what transfer learning actually bought you over training from scratch.,High,dl,Deep Learning Engineer;Computer Vision Engineer
sentiment-classifier,Text Sentiment Classifier,Deep Learning,Advanced,"Deep Learning with TensorFlow,Machine Learning Fundamentals","Build and evaluate a sentiment classifier on real review text, including a section on where it fails and why.",High,dl,Deep Learning Engineer;NLP Engineer
ml-inference-api,Containerized ML Inference API,MLOps,Advanced,"Docker and Containerization,AWS Cloud Practitioner","Wrap a trained model behind a small API, containerize it, and deploy it somewhere reachable — this is the project that proves you can ship, not just train.",High,mlops,MLOps Engineer;Machine Learning Engineer
capstone-deploy,End-to-End Capstone,Machine Learning,Advanced,"Machine Learning Fundamentals,Docker and Containerization,AWS Cloud Practitioner","Take a project from raw data to a deployed, documented, publicly viewable product. This is the one you lead with in interviews.",High,ml,Machine Learning Engineer;MLOps Engineer
