skill_id,canonical_name,aliases,domain,description,parent_skill,prerequisites,related_skills,applicable_roles
eda,Exploratory Data Analysis,eda,Data Analytics,Exploratory Data Analysis as a practical professional skill.,pandas,pandas|numpy,,Frontend Developer
r,R,r programming,Data Analytics,R as a practical professional skill.,statistics,statistics,,Frontend Developer
statistics,Statistics,statistics,Math Foundations,Statistics as a practical professional skill.,probability,probability,,Data Analyst|Data Scientist|Machine Learning Engineer
probability,Probability,probability,Math Foundations,Probability as a practical professional skill.,,,,Frontend Developer
linear-algebra,Linear Algebra,linear algebra,Math Foundations,Linear Algebra as a practical professional skill.,,,,Frontend Developer
calculus,Calculus,calculus,Math Foundations,Calculus as a practical professional skill.,,,,Frontend Developer
hypothesis-testing,Hypothesis Testing,statistical hypothesis testing,Math Foundations,Hypothesis Testing as a practical professional skill.,statistics,statistics,,Frontend Developer
bayesian,Bayesian Statistics,bayesian inference,Math Foundations,Bayesian Statistics as a practical professional skill.,probability,probability|statistics,,Frontend Developer
machine-learning,Machine Learning,ml|machine learning basics,Machine Learning,Machine Learning as a practical professional skill.,python,python|numpy|pandas|linear-algebra|statistics,feature-engineering|deep-learning|mlops,Data Scientist|Machine Learning Engineer
feature-engineering,Feature Engineering,feature engineering,Machine Learning,Feature Engineering as a practical professional skill.,machine-learning,machine-learning,,Frontend Developer
supervised-learning,Supervised Learning,classification|regression,Machine Learning,Supervised Learning as a practical professional skill.,machine-learning,machine-learning,,Frontend Developer
unsupervised-learning,Unsupervised Learning,clustering,Machine Learning,Unsupervised Learning as a practical professional skill.,machine-learning,machine-learning,,Frontend Developer
time-series,Time Series Analysis,forecasting,Machine Learning,Time Series Analysis as a practical professional skill.,supervised-learning,supervised-learning,,Frontend Developer
reinforcement-learning,Reinforcement Learning,rl,Machine Learning,Reinforcement Learning as a practical professional skill.,machine-learning,machine-learning,,Frontend Developer
deep-learning,Deep Learning,dl|neural networks,Deep Learning,Deep Learning as a practical professional skill.,machine-learning,machine-learning|linear-algebra|statistics,pytorch|tensorflow|transformers,Deep Learning Engineer|NLP Engineer|Computer Vision Engineer|AI/LLM Engineer
tensorflow,TensorFlow,tf,Deep Learning,TensorFlow as a practical professional skill.,deep-learning,deep-learning,,Frontend Developer
pytorch,PyTorch,torch,Deep Learning,PyTorch as a practical professional skill.,deep-learning,deep-learning,,Frontend Developer
cnn,Convolutional Neural Networks,cnn,Deep Learning,Convolutional Neural Networks as a practical professional skill.,deep-learning,deep-learning,,Frontend Developer
computer-vision,Computer Vision,cv|computer vision,Deep Learning,Computer Vision as a practical professional skill.,deep-learning,deep-learning|opencv,,Computer Vision Engineer
opencv,OpenCV,opencv,Deep Learning,OpenCV as a practical professional skill.,python,python|numpy,,Frontend Developer
nlp,Natural Language Processing,nlp,Deep Learning,Natural Language Processing as a practical professional skill.,machine-learning,machine-learning,,Frontend Developer
transformers,Transformers,transformer models,Deep Learning,Transformers as a practical professional skill.,nlp,nlp|deep-learning,,NLP Engineer|AI/LLM Engineer
embeddings,Embeddings,vector embeddings,Deep Learning,Embeddings as a practical professional skill.,nlp,nlp|linear-algebra,,Frontend Developer
llms,Large Language Models,llm|large language models,Deep Learning,Large Language Models as a practical professional skill.,transformers,transformers|embeddings,rag|agents|llm-evaluation,AI/LLM Engineer
prompt-engineering,Prompt Engineering,prompting,Deep Learning,Prompt Engineering as a practical professional skill.,llms,llms,,Frontend Developer
rag,Retrieval-Augmented Generation,rag,Deep Learning,Retrieval-Augmented Generation as a practical professional skill.,llms,llms|embeddings|vector-databases,,AI/LLM Engineer
vector-databases,Vector Databases,vector db|vector database,Deep Learning,Vector Databases as a practical professional skill.,embeddings,embeddings,,AI/LLM Engineer
llm-evaluation,LLM Evaluation,llm eval|evaluation,Deep Learning,LLM Evaluation as a practical professional skill.,llms,llms,,Frontend Developer
agents,AI Agents,agentic ai|agent workflows,Deep Learning,AI Agents as a practical professional skill.,llms,llms|prompt-engineering,,Frontend Developer
docker,Docker,containers|docker containers,DevOps,Docker as a practical professional skill.,linux,linux,kubernetes|cicd,DevOps Engineer|MLOps Engineer|Cloud Engineer|SRE
kubernetes,Kubernetes,k8s,DevOps,Kubernetes as a practical professional skill.,docker,docker|networking,,DevOps Engineer|Cloud Engineer|SRE
cicd,CI/CD,continuous integration|continuous deployment,DevOps,CI/CD as a practical professional skill.,git,git|docker,,DevOps Engineer|MLOps Engineer|SRE
terraform,Terraform,infrastructure as code|iac,DevOps,Terraform as a practical professional skill.,cloud-architecture,cloud-architecture|git,,DevOps Engineer|Cloud Engineer|SRE
observability,Observability,monitoring|logging|tracing,DevOps,Observability as a practical professional skill.,linux,linux|networking,,DevOps Engineer|Cloud Engineer|SRE
sre-practices,SRE Practices,site reliability,DevOps,SRE Practices as a practical professional skill.,linux,linux|networking|observability,,Frontend Developer
aws,AWS,amazon web services,Cloud,AWS as a practical professional skill.,,,cloud-architecture|serverless,Cloud Engineer|DevOps Engineer|MLOps Engineer|SRE
azure,Azure,microsoft azure,Cloud,Azure as a practical professional skill.,,,,Cloud Engineer
gcp,Google Cloud,gcp,Cloud,Google Cloud as a practical professional skill.,,,,Cloud Engineer
cloud-architecture,Cloud Architecture,cloud design,Cloud,Cloud Architecture as a practical professional skill.,networking,networking|aws,,Frontend Developer
serverless,Serverless,serverless computing,Cloud,Serverless as a practical professional skill.,cloud-architecture,cloud-architecture,,Frontend Developer
etl,ETL,etl pipelines,Data Engineering,ETL as a practical professional skill.,sql,sql|python,data-warehouse|spark|kafka,Data Engineer
data-warehouse,Data Warehousing,warehouse|dw,Data Engineering,Data Warehousing as a practical professional skill.,sql,sql|data-modeling,,Data Engineer
spark,Apache Spark,spark,Data Engineering,Apache Spark as a practical professional skill.,python,python|sql,,Data Engineer
kafka,Apache Kafka,kafka streaming,Data Engineering,Apache Kafka as a practical professional skill.,networking,networking|etl,,Data Engineer
data-quality,Data Quality,data validation,Data Engineering,Data Quality as a practical professional skill.,sql,sql|etl,,Frontend Developer
stream-processing,Stream Processing,streaming data,Data Engineering,Stream Processing as a practical professional skill.,kafka,kafka|spark,,Frontend Developer
cybersecurity,Cybersecurity Fundamentals,cyber security|security basics,Security,Cybersecurity Fundamentals as a practical professional skill.,networking,networking|linux,ethical-hacking|appsec|cloud-security,Cybersecurity Engineer
ethical-hacking,Ethical Hacking,penetration testing|pentesting,Security,Ethical Hacking as a practical professional skill.,cybersecurity,cybersecurity|networking,,Cybersecurity Engineer
appsec,Application Security,web security|app security,Security,Application Security as a practical professional skill.,cybersecurity,cybersecurity|rest-api,,Cybersecurity Engineer|Backend Developer
cloud-security,Cloud Security,cloud security,Security,Cloud Security as a practical professional skill.,cybersecurity,cybersecurity|aws,,Frontend Developer
vulnerability-management,Vulnerability Management,vulnerability scanning,Security,Vulnerability Management as a practical professional skill.,cybersecurity,cybersecurity,,Frontend Developer
soc,Security Operations,soc|security monitoring,Security,Security Operations as a practical professional skill.,cybersecurity,cybersecurity|linux,,Frontend Developer
blockchain,Blockchain,web3 fundamentals,Blockchain,Blockchain as a practical professional skill.,javascript,javascript,solidity|smart-contracts,Blockchain Developer
solidity,Solidity,smart contracts language,Blockchain,Solidity as a practical professional skill.,blockchain,blockchain,,Blockchain Developer
smart-contracts,Smart Contracts,smart contract development,Blockchain,Smart Contracts as a practical professional skill.,solidity,solidity,,Blockchain Developer
dapps,Decentralized Applications,dapp|dApps,Blockchain,Decentralized Applications as a practical professional skill.,smart-contracts,smart-contracts|react,,Blockchain Developer|Full Stack Developer
embedded,Embedded Systems,embedded programming,Systems,Embedded Systems as a practical professional skill.,cpp,cpp|operating-systems,,Embedded Engineer|Systems Engineer
iot,IoT,internet of things,Systems,IoT as a practical professional skill.,embedded,embedded|networking,,Embedded Engineer|Systems Engineer
c-cpp-systems,Systems Programming,low-level programming,Systems,Systems Programming as a practical professional skill.,cpp,cpp|operating-systems,,Systems Engineer|Embedded Engineer
ml-serving,Model Serving,model inference|serving,MLOps,Model Serving as a practical professional skill.,machine-learning,machine-learning|rest-api,,Frontend Developer
mlops,MLOps,ml operations,MLOps,MLOps as a practical professional skill.,ml-serving,ml-serving|docker|cicd,,Frontend Developer
model-monitoring,ML Model Monitoring,model drift|monitoring,MLOps,ML Model Monitoring as a practical professional skill.,mlops,mlops|observability,,Frontend Developer
ml-cicd,ML CI/CD,ml deployment pipeline,MLOps,ML CI/CD as a practical professional skill.,mlops,mlops|cicd,,Frontend Developer
deployment,Application Deployment,production deployment,DevOps,Application Deployment as a practical professional skill.,docker,docker|cicd,,Frontend Developer
swift,Swift,swift programming,Programming Foundations,Swift programming for native Apple development.,,,ios,iOS Developer|Mobile Developer
