slug,title,domain,difficulty,skills,description,portfolio_value,project_type,target_roles,required_skill_ids,prerequisite_skill_ids,demonstrates_skill_ids,compatible_stack_ids,estimated_hours,learning_outcomes
social-feed-fullstack,Mini Social Feed App,Web Development,Advanced,"Node.js Backend Development,React.js Development,MongoDB for Developers","Build a small social feed — posts, likes, a feed view — full stack, with a NoSQL database backing it.",High,fullstack,Full Stack Developer,nodejs|react|mongodb,nodejs|react,nodejs|react|mongodb|testing|deployment,nodejs|react|mongodb,40,"Practice Node.js, React, MongoDB, Software Testing"
weather-app-mobile,Weather App (React Native),Mobile Development,Beginner,"React Native Mobile Development,REST API Design Principles",Build a cross-platform weather app that consumes a real weather API — your first shippable mobile project.,Medium,mobile,Mobile Developer,react-native|rest-api,react-native|rest-api,react-native|rest-api,react-native|rest-api,10,"Practice React Native, REST APIs"
notes-app-flutter,Notes App (Flutter),Mobile Development,Beginner,Flutter Cross Platform Apps,"Build a notes app with local persistence in Flutter — clean UI, CRUD, and offline storage.",Medium,mobile,Mobile Developer,flutter|mobile-development,flutter|mobile-development,flutter|mobile-development,flutter|mobile-development,10,"Practice Flutter, Mobile Development"
fitness-tracker-android,Fitness Tracker (Android),Mobile Development,Intermediate,"Android App Development,SQL for Beginners","Build a native Android app that logs workouts to a local database, with charts of progress over time.",High,mobile,Mobile Developer,android|sql,android|sql,android|sql,android|sql,24,"Practice Android, SQL"
ios-habit-tracker,Habit Tracker (iOS/Swift),Mobile Development,Intermediate,iOS App Development with Swift,"Build a native iOS habit tracker with local storage and daily reminders — a complete, App-Store-shaped project.",High,mobile,Mobile Developer,ios|swift,ios|swift,ios|swift,ios|swift,24,"Practice iOS, Swift"
cicd-pipeline-demo,CI/CD Pipeline for a Sample App,DevOps,Intermediate,"CI CD Pipeline Setup,Docker and Containerization","Containerize a sample app and wire up a real CI/CD pipeline that tests, builds, and deploys it automatically on every push.",High,devops,DevOps Engineer,cicd|docker|containers,cicd|docker,cicd|docker|containers|monitoring,cicd|docker|containers,24,"Practice CI/CD, Docker, Containers, Monitoring and Observability"
containerized-microservice,Containerized Microservice,DevOps,Intermediate,"Docker and Containerization,DevOps Practices and Tools","Take an existing API and properly containerize it — multi-stage Dockerfile, environment config, health checks.",Medium,devops,DevOps Engineer;Backend Developer,docker|containers|devops,docker|containers,docker|containers|devops|monitoring,docker|containers|devops,24,"Practice Docker, Containers, DevOps, Monitoring and Observability"
k8s-deployment,Kubernetes Deployment of a Web App,DevOps,Advanced,"Kubernetes Orchestration,Docker and Containerization","Deploy a multi-container app to Kubernetes with proper services, config maps, and scaling — the project that proves you can run production infra.",High,devops,DevOps Engineer;Cloud Engineer,kubernetes|docker|containers,kubernetes|docker,kubernetes|docker|containers|monitoring,kubernetes|docker|containers,40,"Practice Kubernetes, Docker, Containers, Monitoring and Observability"
monitoring-stack-setup,Monitoring Stack for a Live Service,DevOps,Advanced,"DevOps Practices and Tools,Kubernetes Orchestration",Stand up a monitoring/alerting stack for a running service and document what you'd actually get paged for.,Medium,devops,DevOps Engineer,devops|kubernetes,devops|kubernetes,devops|kubernetes|monitoring,devops|kubernetes,40,"Practice DevOps, Kubernetes, Monitoring and Observability"
serverless-api-aws,Serverless API on AWS,Cloud,Intermediate,"AWS Cloud Practitioner,REST API Design Principles","Build and deploy a serverless REST API on AWS — real deployment, not just theory.",High,cloud,Cloud Engineer;Backend Developer,aws|rest-api,aws|rest-api,aws|rest-api|monitoring,aws|rest-api,24,"Practice AWS, REST APIs, Monitoring and Observability"
cloud-storage-pipeline,Cloud Data Storage Pipeline,Cloud,Intermediate,"AWS Solutions Architect,ETL Pipeline Development","Design a pipeline that ingests, stores, and serves data using real cloud storage services — architecture you can defend in an interview.",High,cloud,Cloud Engineer;Data Engineer,aws-architecture|etl,aws-architecture|etl,aws-architecture|etl|monitoring,aws-architecture|etl,24,"Practice AWS Architecture, ETL, Monitoring and Observability"
multi-cloud-static-site,Static Site Deployed Across Two Clouds,Cloud,Beginner,"Azure Fundamentals,Google Cloud Platform Basics","Deploy the same static site on two different cloud providers and document the tradeoffs — a fast, real way to learn both platforms.",Medium,cloud,Cloud Engineer,azure|gcp,azure|gcp,azure|gcp|monitoring,azure|gcp,10,"Practice Azure, Google Cloud, Monitoring and Observability"
vuln-scanner-basic,Basic Vulnerability Scanner,Security,Intermediate,"Cybersecurity Fundamentals,Ethical Hacking Basics","Build a script that scans a target for common, well-known misconfigurations and produces a real findings report.",High,security,Cybersecurity Engineer,cybersecurity-fundamentals|ethical-hacking,cybersecurity-fundamentals|ethical-hacking,cybersecurity-fundamentals|ethical-hacking|authentication,cybersecurity-fundamentals|ethical-hacking,24,"Practice Cybersecurity Fundamentals, Ethical Hacking, Authentication and Authorization"
log-analysis-security,Security Log Analysis Tool,Security,Intermediate,"Cybersecurity Fundamentals,SQL for Beginners",Parse and analyze real (or realistic sample) server logs to flag suspicious access patterns — a genuinely useful SOC-style project.,Medium,security,Cybersecurity Engineer,cybersecurity-fundamentals|sql,cybersecurity-fundamentals|sql,cybersecurity-fundamentals|sql|authentication,cybersecurity-fundamentals|sql,24,"Practice Cybersecurity Fundamentals, SQL, Authentication and Authorization"
auth-audit-project,Authentication Security Audit,Security,Advanced,"Ethical Hacking Basics,REST API Design Principles","Audit a sample API's authentication flow for common weaknesses and document a remediation plan — practical, portfolio-defensible work.",High,security,Cybersecurity Engineer;Backend Developer,ethical-hacking|rest-api,ethical-hacking|rest-api,ethical-hacking|rest-api|authentication,ethical-hacking|rest-api,40,"Practice Ethical Hacking, REST APIs, Authentication and Authorization"
nft-marketplace-contract,Simple NFT Smart Contract,Blockchain,Intermediate,"Smart Contract Programming with Solidity,Blockchain Development","Write and deploy a minimal NFT smart contract to a testnet, with a small frontend to mint and view tokens.",High,blockchain,Blockchain Developer,solidity|smart-contracts|blockchain,solidity|smart-contracts,solidity|smart-contracts|blockchain,solidity|smart-contracts|blockchain,24,"Practice Solidity, Smart Contracts, Blockchain"
token-swap-dapp,Token Swap dApp,Blockchain,Advanced,"Smart Contract Programming with Solidity,React.js Development",Build a decentralized app that lets users swap between two custom tokens — contract plus a connected frontend.,High,blockchain,Blockchain Developer;Full Stack Developer,solidity|smart-contracts|react,solidity|smart-contracts,solidity|smart-contracts|react,solidity|smart-contracts|react,40,"Practice Solidity, Smart Contracts, React"
sales-analytics-dashboard,Sales Analytics Dashboard,Data Analytics,Beginner,"Power BI Dashboard Creation,Excel for Data Analysis",Build a sales dashboard from a real or public dataset that answers three concrete business questions with visuals.,High,analysis,Data Analyst,power-bi|bi|excel,power-bi|bi,power-bi|bi|excel|data-visualization,power-bi|bi|excel,10,"Practice Power BI, Business Intelligence, Excel, Data Visualization"
customer-segmentation-tableau,Customer Segmentation Dashboard (Tableau),Data Analytics,Intermediate,"Tableau for Business Analytics,Exploratory Data Analysis",Segment customers from a real dataset and present the segments as an interactive Tableau dashboard a stakeholder could actually use.,High,analysis,Data Analyst,tableau|bi|eda,tableau|bi,tableau|bi|eda|data-visualization,tableau|bi|eda,24,"Practice Tableau, Business Intelligence, Exploratory Data Analysis, Data Visualization"
ab-test-analysis,A/B Test Result Analysis,Data Analytics,Intermediate,"Statistical Analysis with R,Probability and Statistics","Analyze a real or public A/B test dataset and write up a statistically grounded recommendation — shows real analyst judgment, not just charts.",Medium,analysis,Data Analyst;Data Scientist,r-statistics|statistics|probability,r-statistics|statistics,r-statistics|statistics|probability|data-visualization,r-statistics|statistics|probability,24,"Practice R Statistics, Statistics, Probability, Data Visualization"
etl-pipeline-project,End-to-End ETL Pipeline,Data Engineering,Intermediate,"ETL Pipeline Development,Data Warehouse Design","Build a pipeline that extracts data from a source, transforms it, and loads it into a warehouse schema you designed.",High,data-engineering,Data Engineer,etl|data-warehousing,etl|data-warehousing,etl|data-warehousing,etl|data-warehousing,24,"Practice ETL, Data Warehousing"
realtime-stream-pipeline,Real-Time Data Stream Pipeline,Data Engineering,Advanced,"Apache Kafka for Real-time Data,Data Engineering with Apache Spark",Build a streaming pipeline that ingests and processes events in near-real-time — the project that separates data engineers from analysts.,High,data-engineering,Data Engineer,kafka|spark,kafka|spark,kafka|spark,kafka|spark,40,"Practice Apache Kafka, Apache Spark"
data-warehouse-schema,Data Warehouse Schema Design,Data Engineering,Intermediate,"Data Warehouse Design,Advanced SQL and Query Optimization","Design and implement a star-schema warehouse for a real dataset, with queries that prove the schema actually performs.",Medium,data-engineering,Data Engineer,data-warehousing|advanced-sql|sql-optimization,data-warehousing|advanced-sql,data-warehousing|advanced-sql|sql-optimization,data-warehousing|advanced-sql|sql-optimization,24,"Practice Data Warehousing, Advanced SQL, SQL Optimization"
iot-sensor-dashboard,IoT Sensor Dashboard (Raspberry Pi),Systems,Intermediate,"IoT with Raspberry Pi,Embedded Systems Programming","Wire up real sensors to a Raspberry Pi and stream readings to a small live dashboard — hardware plus software, end to end.",High,systems,Systems Engineer,iot|embedded,iot|embedded,iot|embedded|system-design,iot|embedded,24,"Practice IoT, Embedded Systems, System Design"
embedded-automation-project,Embedded Automation Project,Systems,Advanced,"Embedded Systems Programming,IoT with Raspberry Pi","Build a small embedded system that automates a real physical task, with documented hardware and firmware decisions.",Medium,systems,Systems Engineer,embedded|iot,embedded|iot,embedded|iot|system-design,embedded|iot,40,"Practice Embedded Systems, IoT, System Design"
database-performance-project,Database Performance Tuning Case Study,Databases,Advanced,"Database Performance Tuning,Advanced SQL and Query Optimization","Take a slow, realistic query set and document the indexing/schema changes that measurably improved performance.",Medium,database,Backend Developer;Data Engineer,database-performance|advanced-sql|sql-optimization,database-performance|advanced-sql,database-performance|advanced-sql|sql-optimization,database-performance|advanced-sql|sql-optimization,40,"Practice Database Performance, Advanced SQL, SQL Optimization"
redis-cache-layer,Caching Layer with Redis,Databases,Intermediate,"Redis Caching Strategies,PostgreSQL Database Design",Add a Redis caching layer in front of a real database-backed API and measure the actual performance difference.,Medium,database,Backend Developer;Full Stack Developer,redis|postgresql|data-modeling,redis|postgresql,redis|postgresql|data-modeling,redis|postgresql|data-modeling,24,"Practice Redis, PostgreSQL, Data Modeling"
house-price-predictor,House Price Predictor,Machine Learning,Intermediate,"Machine Learning Fundamentals,Data Analysis with Pandas","Train and evaluate a regression model on housing data, with proper feature engineering and an honest discussion of its errors.",High,ml,Machine Learning Engineer;Data Scientist,machine-learning|pandas|data-analysis,machine-learning|pandas,machine-learning|pandas|data-analysis|model-serving,machine-learning|pandas|data-analysis,24,"Practice Machine Learning, Pandas, Data Analysis, Model Serving"
churn-classifier,Customer Churn Classifier,Machine Learning,Intermediate,"Machine Learning Fundamentals,Probability and Statistics","Build a classifier that predicts customer churn, and report precision/recall — not just accuracy — with reasoning for the tradeoff you chose.",High,ml,Machine Learning Engineer;Data Scientist,machine-learning|statistics|probability,machine-learning|statistics,machine-learning|statistics|probability|model-serving,machine-learning|statistics|probability,24,"Practice Machine Learning, Statistics, Probability, Model Serving"
image-classifier,Image Classifier with a Pretrained CNN,Deep Learning,Advanced,Deep Learning with TensorFlow,Fine-tune a pretrained CNN on a small image dataset and document what transfer learning actually bought you over training from scratch.,High,dl,Deep Learning Engineer;Computer Vision Engineer,deep-learning|tensorflow,deep-learning|tensorflow,deep-learning|tensorflow|transfer-learning,deep-learning|tensorflow,40,"Practice Deep Learning, TensorFlow, Transfer Learning"
sentiment-classifier,Text Sentiment Classifier,Deep Learning,Advanced,"Deep Learning with TensorFlow,Machine Learning Fundamentals","Build and evaluate a sentiment classifier on real review text, including a section on where it fails and why.",High,dl,Deep Learning Engineer;NLP Engineer,deep-learning|tensorflow|machine-learning,deep-learning|tensorflow,deep-learning|tensorflow|machine-learning|transfer-learning,deep-learning|tensorflow|machine-learning,40,"Practice Deep Learning, TensorFlow, Machine Learning, Transfer Learning"
ml-inference-api,Containerized ML Inference API,MLOps,Advanced,"Docker and Containerization,AWS Cloud Practitioner","Wrap a trained model behind a small API, containerize it, and deploy it somewhere reachable — this is the project that proves you can ship, not just train.",High,mlops,MLOps Engineer;Machine Learning Engineer,docker|containers|aws,docker|containers,docker|containers|aws|monitoring,docker|containers|aws,40,"Practice Docker, Containers, AWS, Monitoring and Observability"
capstone-deploy,End-to-End Capstone,Machine Learning,Advanced,"Machine Learning Fundamentals,Docker and Containerization,AWS Cloud Practitioner","Take a project from raw data to a deployed, documented, publicly viewable product. This is the one you lead with in interviews.",High,ml,Machine Learning Engineer;MLOps Engineer,machine-learning|docker|containers|aws,machine-learning|docker|containers,machine-learning|docker|containers|aws|model-serving,machine-learning|docker|containers|aws,40,"Practice Machine Learning, Docker, Containers, AWS"
accessible-design-system,Accessible Design System,Web Development,Beginner,"HTML and CSS for Beginners, HTML and CSS for Beginners, Responsive Web Design","Build a portfolio-quality accessible design system that solves a realistic frontend developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Frontend Developer,html|css|responsive-web,html|css|responsive-web,html|css|responsive-web|testing,html|css|responsive-web,12,"Practice HTML, CSS, Responsive Web Design, Software Testing"
python-automation-suite,Python Automation Suite,Programming Foundations,Beginner,"Python for Absolute Beginners, Python OOP Concepts, Python Automation and Scripting","Build a portfolio-quality python automation suite that solves a realistic python developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Python Developer,python|python-oop|python-automation,python|python-oop|python-automation,python|python-oop|python-automation|testing,python|python-oop|python-automation,12,"Practice Python, Python OOP, Python Automation, Software Testing"
async-python-service,Async Python Service,Programming Foundations,Intermediate,"Python OOP Concepts, Python Programming Masterclass, REST API Design Principles","Build a portfolio-quality async python service that solves a realistic python developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Python Developer,python-oop|advanced-python|rest-api,python-oop|advanced-python|rest-api,python-oop|advanced-python|rest-api|python-production|testing,python-oop|advanced-python|rest-api,28,"Practice Python OOP, Advanced Python, REST APIs, Python Production Engineering, Software Testing"
fastapi-integration-platform,FastAPI Integration Platform,Programming Foundations,Intermediate,"Python for Absolute Beginners, REST API Design Principles, PostgreSQL Database Design","Build a portfolio-quality fastapi integration platform that solves a realistic python developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Python Developer,python|rest-api|postgresql,python|rest-api|postgresql,python|rest-api|postgresql|authentication|testing,python|rest-api|postgresql,28,"Practice Python, REST APIs, PostgreSQL, Authentication and Authorization, Software Testing"
python-data-workflow-tool,Python Data Workflow Tool,Programming Foundations,Advanced,"Python for Absolute Beginners, Python for Data Science, Data Analysis with Pandas, SQL for Beginners","Build a portfolio-quality python data workflow tool that solves a realistic python developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Python Developer,python|python-data|pandas|sql,python|python-data|pandas|sql,python|python-data|pandas|sql|python-production|testing,python|python-data|pandas|sql,48,"Practice Python, Python for Data Science, Pandas, SQL, Python Production Engineering, Software Testing"
python-engineering-capstone,Python Engineering Capstone,Programming Foundations,Advanced,"Python Programming Masterclass, Advanced Python Development, REST API Design Principles, PostgreSQL Database Design, Docker and Containerization","Build a portfolio-quality python engineering capstone that solves a realistic python developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Python Developer,advanced-python|python-production|rest-api|postgresql|docker,advanced-python|python-production|rest-api|postgresql|docker,advanced-python|python-production|rest-api|postgresql|docker|testing|deployment|software-architecture,advanced-python|python-production|rest-api|postgresql|docker,48,"Practice Advanced Python, Python Production Engineering, REST APIs, PostgreSQL, Docker, Software Testing"
modern-javascript-toolkit,Modern JavaScript Toolkit,Web Development,Beginner,"JavaScript Fundamentals, Modern JavaScript ES6 Plus, Git and GitHub Mastery","Build a portfolio-quality modern javascript toolkit that solves a realistic javascript developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,JavaScript Developer,javascript|javascript-async|git,javascript|javascript-async|git,javascript|javascript-async|git|typescript,javascript|javascript-async|git,12,"Practice JavaScript, Async JavaScript, Git, TypeScript"
typescript-api-client,TypeScript API Client,Web Development,Intermediate,"JavaScript Fundamentals, TypeScript for Developers, REST API Design Principles","Build a portfolio-quality typescript api client that solves a realistic javascript developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,JavaScript Developer,javascript|typescript|rest-api,javascript|typescript|rest-api,javascript|typescript|rest-api|testing,javascript|typescript|rest-api,28,"Practice JavaScript, TypeScript, REST APIs, Software Testing"
node-event-service,Node Event Service,Web Development,Intermediate,"JavaScript Fundamentals, Modern JavaScript ES6 Plus, Node.js Backend Development, PostgreSQL Database Design","Build a portfolio-quality node event service that solves a realistic javascript developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,JavaScript Developer,javascript|javascript-async|nodejs|postgresql,javascript|javascript-async|nodejs|postgresql,javascript|javascript-async|nodejs|postgresql|authentication|testing,javascript|javascript-async|nodejs|postgresql,28,"Practice JavaScript, Async JavaScript, Node.js, PostgreSQL, Authentication and Authorization, Software Testing"
full-stack-typescript-app,Full Stack TypeScript App,Web Development,Advanced,"TypeScript for Developers, React.js Development, Node.js Backend Development, PostgreSQL Database Design","Build a portfolio-quality full stack typescript app that solves a realistic javascript developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,JavaScript Developer,typescript|react|nodejs|postgresql,typescript|react|nodejs|postgresql,typescript|react|nodejs|postgresql|authentication|testing|deployment,typescript|react|nodejs|postgresql,48,"Practice TypeScript, React, Node.js, PostgreSQL, Authentication and Authorization, Software Testing"
javascript-platform-capstone,JavaScript Platform Capstone,Web Development,Advanced,"JavaScript Fundamentals, TypeScript for Developers, Node.js Backend Development, React.js Development, REST API Design Principles","Build a portfolio-quality javascript platform capstone that solves a realistic javascript developer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,JavaScript Developer,javascript|typescript|nodejs|react|rest-api,javascript|typescript|nodejs|react|rest-api,javascript|typescript|nodejs|react|rest-api|testing|deployment|software-architecture,javascript|typescript|nodejs|react|rest-api,48,"Practice JavaScript, TypeScript, Node.js, React, REST APIs, Software Testing"
kpi-dashboard,KPI Dashboard,Data Analytics,Beginner,"Excel for Data Analysis, SQL for Beginners, Data Analysis with Pandas","Build a portfolio-quality kpi dashboard that solves a realistic data analyst problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Data Analyst,excel|sql|data-analysis,excel|sql|data-analysis,excel|sql|data-analysis|data-visualization,excel|sql|data-analysis,12,"Practice Excel, SQL, Data Analysis, Data Visualization"
exploratory-modeling-study,Exploratory Modeling Study,Machine Learning,Beginner,"Python for Data Science, Data Analysis with Pandas, Probability and Statistics","Build a portfolio-quality exploratory modeling study that solves a realistic data scientist problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Data Scientist,python-data|pandas|statistics,python-data|pandas|statistics,python-data|pandas|statistics|eda|data-visualization,python-data|pandas|statistics,12,"Practice Python for Data Science, Pandas, Statistics, Exploratory Data Analysis, Data Visualization"
ml-training-pipeline,ML Training Pipeline,Machine Learning,Beginner,"Python for Data Science, Data Analysis with Pandas, Machine Learning Fundamentals","Build a portfolio-quality ml training pipeline that solves a realistic machine learning engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Machine Learning Engineer,python-data|pandas|machine-learning,python-data|pandas|machine-learning,python-data|pandas|machine-learning|feature-engineering|evaluation,python-data|pandas|machine-learning,12,"Practice Python for Data Science, Pandas, Machine Learning, Feature Engineering, AI Evaluation"
neural-network-from-scratch,Neural Network from Scratch,Deep Learning,Beginner,"Python for Absolute Beginners, Linear Algebra for Machine Learning, Advanced Neural Networks","Build a portfolio-quality neural network from scratch that solves a realistic deep learning engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Deep Learning Engineer,python|linear-algebra|neural-networks,python|linear-algebra|neural-networks,python|linear-algebra|neural-networks|deep-learning,python|linear-algebra|neural-networks,12,"Practice Python, Linear Algebra, Neural Networks, Deep Learning"
image-classification-system,Image Classification System,Deep Learning,Intermediate,"Python for Absolute Beginners, Deep Learning with PyTorch, Deep Learning with TensorFlow, Computer Vision with OpenCV","Build a portfolio-quality image classification system that solves a realistic deep learning engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Deep Learning Engineer,python|pytorch|deep-learning|computer-vision,python|pytorch|deep-learning|computer-vision,python|pytorch|deep-learning|computer-vision|transfer-learning,python|pytorch|deep-learning|computer-vision,28,"Practice Python, PyTorch, Deep Learning, Computer Vision, Transfer Learning"
fine-tuned-vision-model,Fine-Tuned Vision Model,Deep Learning,Intermediate,"Python for Absolute Beginners, Deep Learning with PyTorch, Computer Vision with OpenCV, Transfer Learning and Fine-tuning","Build a portfolio-quality fine-tuned vision model that solves a realistic deep learning engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,Deep Learning Engineer,python|pytorch|computer-vision|transfer-learning,python|pytorch|computer-vision|transfer-learning,python|pytorch|computer-vision|transfer-learning|opencv,python|pytorch|computer-vision|transfer-learning,28,"Practice Python, PyTorch, Computer Vision, Transfer Learning, OpenCV"
text-classification-pipeline,Text Classification Pipeline,Deep Learning,Beginner,"Python for Absolute Beginners, Natural Language Processing, Machine Learning Fundamentals","Build a portfolio-quality text classification pipeline that solves a realistic nlp engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,NLP Engineer,python|nlp|machine-learning,python|nlp|machine-learning,python|nlp|machine-learning|supervised-learning,python|nlp|machine-learning,12,"Practice Python, Natural Language Processing, Machine Learning, Supervised Learning"
semantic-search-engine,Semantic Search Engine,Deep Learning,Intermediate,"Python for Absolute Beginners, Natural Language Processing, Deep Learning with PyTorch","Build a portfolio-quality semantic search engine that solves a realistic nlp engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,NLP Engineer,python|nlp|pytorch,python|nlp|pytorch,python|nlp|pytorch|transformers,python|nlp|pytorch,28,"Practice Python, Natural Language Processing, PyTorch, Transformers"
document-summarization-service,Document Summarization Service,Deep Learning,Intermediate,"Python for Absolute Beginners, Natural Language Processing","Build a portfolio-quality document summarization service that solves a realistic nlp engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,NLP Engineer,python|nlp,python|nlp,python|nlp|evaluation,python|nlp,28,"Practice Python, Natural Language Processing, AI Evaluation"
transformer-fine-tuning-lab,Transformer Fine Tuning Lab,Deep Learning,Advanced,"Python for Absolute Beginners, Deep Learning with PyTorch, Natural Language Processing","Build a portfolio-quality transformer fine tuning lab that solves a realistic nlp engineer problem and documents design decisions, testing, and tradeoffs.",High,portfolio,NLP Engineer,python|pytorch|nlp,python|pytorch|nlp,python|pytorch|nlp|transfer-learning,python|pytorch|nlp,48,"Practice Python, PyTorch, Natural Language Processing, Transfer Learning"
