skill_id,canonical_name,aliases,domain,description,parent_skill,prerequisites,related_skills,applicable_roles
nodejs,Node.js,node|node js,Web Development,Server-side JavaScript with Node.js.,javascript-async,,rest-api|graphql|mongodb|postgresql,Backend Developer|Full Stack Developer|JavaScript Developer
javascript-fullstack,JavaScript Full Stack,js full stack,Web Development,End-to-end JavaScript/TypeScript web application development.,javascript,,postgresql|authentication|testing|deployment,Full Stack Developer|JavaScript Developer
django,Django,django python,Web Development,Python web development with Django.,python-oop,,rest-api|postgresql|authentication,Backend Developer|Full Stack Developer|Python Developer
flask,Flask,flask python,Web Development,Lightweight Python web APIs with Flask.,python-oop,,rest-api|postgresql|authentication,Backend Developer|Full Stack Developer|Python Developer
rest-api,REST APIs,rest|restful api,Web Development,Designing and consuming RESTful HTTP APIs.,,,authentication|postgresql,Backend Developer|Full Stack Developer|Python Developer|JavaScript Developer
graphql,GraphQL,graphql api,Web Development,Schema-driven API development with GraphQL.,rest-api,,authentication|postgresql,Backend Developer|Full Stack Developer|JavaScript Developer
go,Go,golang,Web Development,Backend development with Go.,,,rest-api|postgresql,Backend Developer
mongodb,MongoDB,mongo|document database,Databases,Document database design and application integration.,sql,,data-modeling,Backend Developer|Full Stack Developer|Data Engineer
postgresql,PostgreSQL,postgres|postgres database,Databases,PostgreSQL schema design and relational database development.,sql,,data-modeling|advanced-sql,Backend Developer|Full Stack Developer|Data Engineer|Data Scientist
data-modeling,Data Modeling,schema design|data models,Databases,Designing robust data schemas and relationships.,sql,,data-warehousing,Backend Developer|Data Engineer|Data Scientist
advanced-sql,Advanced SQL,sql optimization|complex sql,Databases,"Advanced querying, joins, window functions, and optimization.",postgresql,,sql-optimization|data-warehousing,Backend Developer|Data Engineer|Data Scientist|Data Analyst
sql-optimization,SQL Optimization,query optimization,Databases,Improving database query performance.,advanced-sql,,database-performance,Backend Developer|Data Engineer
database-performance,Database Performance,database tuning|indexing,Databases,"Indexing, query plans, and performance tuning.",sql-optimization,,,Backend Developer|Data Engineer
redis,Redis,redis cache|caching,Databases,Caching and fast key-value data access with Redis.,postgresql,,,Backend Developer|Full Stack Developer|DevOps Engineer
data-warehousing,Data Warehousing,warehouse design|dimensional modeling,Data Engineering,Analytical warehouse architecture and dimensional modeling.,advanced-sql,,etl,Data Engineer|Data Scientist|Data Analyst
etl,ETL,data pipelines|extract transform load,Data Engineering,"Batch data ingestion, transformation, and loading.",data-warehousing,,spark|kafka,Data Engineer
spark,Apache Spark,pyspark|spark,Data Engineering,Distributed data processing with Spark.,etl,,,Data Engineer|Data Scientist
kafka,Apache Kafka,event streaming|kafka,Data Engineering,Distributed event streaming with Kafka.,etl,,,Data Engineer|Backend Developer
containers,Containers,containerization,DevOps,Container fundamentals and image/runtime concepts.,linux,,docker,DevOps Engineer|Cloud Engineer|SRE
docker,Docker,docker containers,DevOps,Containerizing applications with Docker.,containers,,kubernetes|cicd,DevOps Engineer|Cloud Engineer|SRE|MLOps Engineer
kubernetes,Kubernetes,k8s|container orchestration,DevOps,Orchestrating containerized workloads with Kubernetes.,docker,,monitoring,DevOps Engineer|Cloud Engineer|SRE|MLOps Engineer
cicd,CI/CD,continuous integration|continuous delivery,DevOps,"Automated build, test, and deployment pipelines.",docker,,devops,DevOps Engineer|Cloud Engineer|SRE|MLOps Engineer
devops,DevOps,devops practices,DevOps,"Operational software delivery, automation, and collaboration.",linux,,docker|cicd,DevOps Engineer|Cloud Engineer|SRE
aws,AWS,amazon web services,Cloud,Core AWS services and cloud concepts.,,,aws-architecture,Cloud Engineer|DevOps Engineer|SRE|MLOps Engineer
aws-architecture,AWS Architecture,aws architecture|solutions architect,Cloud,Architecting production workloads on AWS.,aws,,devops,Cloud Engineer|DevOps Engineer|SRE
azure,Azure,microsoft azure,Cloud,Core Microsoft Azure services and concepts.,,,devops,Cloud Engineer|DevOps Engineer
gcp,Google Cloud,gcp|google cloud platform,Cloud,Core Google Cloud services and concepts.,,,devops,Cloud Engineer|DevOps Engineer|Data Engineer|MLOps Engineer
cybersecurity-fundamentals,Cybersecurity Fundamentals,cyber security basics|infosec,Security,"Security principles, threats, controls, and basic defense.",,,ethical-hacking,Cybersecurity Engineer|Cloud Engineer|SRE
ethical-hacking,Ethical Hacking,penetration testing|pentesting,Security,Authorized security testing and vulnerability discovery.,cybersecurity-fundamentals,,,Cybersecurity Engineer
blockchain,Blockchain,web3|distributed ledger,Blockchain,Blockchain architecture and decentralized application concepts.,javascript,,solidity|smart-contracts,Blockchain Developer
solidity,Solidity,solidity programming,Blockchain,Smart contract programming with Solidity.,blockchain,,smart-contracts,Blockchain Developer
smart-contracts,Smart Contracts,smart contract security,Blockchain,Designing and implementing blockchain smart contracts.,solidity,,,Blockchain Developer
embedded,Embedded Systems,embedded programming|firmware,Systems,Software for constrained and hardware-connected systems.,cpp,,iot,Systems Engineer|Embedded Engineer
iot,IoT,internet of things|raspberry pi,Systems,Connected sensor and edge-computing systems.,embedded,,,Systems Engineer|Embedded Engineer
calculus,Calculus,calculus math,Math Foundations,Calculus foundations useful for data and ML.,,,statistics|linear-algebra,Data Scientist|Machine Learning Engineer|Deep Learning Engineer
linear-algebra,Linear Algebra,linear algebra math,Math Foundations,"Vectors, matrices, and linear algebra for ML.",,,machine-learning|deep-learning,Data Scientist|Machine Learning Engineer|Deep Learning Engineer
statistics,Statistics,statistics fundamentals,Math Foundations,Statistical reasoning for data analysis and modeling.,,,probability|hypothesis-testing|machine-learning,Data Analyst|Data Scientist|Machine Learning Engineer
probability,Probability,probability theory,Math Foundations,Probability concepts for data science and ML.,statistics,,bayesian-statistics|machine-learning,Data Scientist|Machine Learning Engineer
bayesian-statistics,Bayesian Statistics,bayesian inference,Math Foundations,Bayesian reasoning and inference.,probability,,,Data Scientist|Machine Learning Engineer
hypothesis-testing,Hypothesis Testing,statistical tests|significance testing,Math Foundations,Hypothesis testing and statistical decision-making.,statistics,,r-statistics,Data Analyst|Data Scientist
r-statistics,R Statistics,r programming|r stats,Data Analytics,Statistical analysis in R.,statistics,,,Data Analyst|Data Scientist
pandas,Pandas,python pandas,Data Analytics,Data manipulation and tabular analysis in Python.,python,,data-analysis|eda,Data Analyst|Data Scientist|Data Engineer
data-analysis,Data Analysis,data wrangling|analytics,Data Analytics,"Practical data cleaning, exploration, and analysis.",pandas,,data-visualization,Data Analyst|Data Scientist
eda,Exploratory Data Analysis,eda,Data Analytics,Systematic exploration of datasets and patterns.,data-analysis,,data-visualization|feature-engineering,Data Analyst|Data Scientist
matplotlib,Matplotlib,python visualization,Data Analytics,Python plotting and visualization with Matplotlib.,pandas,,data-visualization,Data Analyst|Data Scientist
data-visualization,Data Visualization,charts|visual analytics,Data Analytics,Communicating data through effective visualizations.,data-analysis,,,Data Analyst|Data Scientist
power-bi,Power BI,powerbi,Data Analytics,Business intelligence dashboards with Power BI.,data-analysis,,bi,Data Analyst
tableau,Tableau,tableau bi,Data Analytics,Interactive BI dashboards with Tableau.,data-analysis,,bi,Data Analyst
bi,Business Intelligence,business intelligence|bi,Data Analytics,Turning operational data into decision-support dashboards.,data-analysis,,,Data Analyst
python-data,Python for Data Science,python data science,Data Analytics,Python workflows for data science.,python,,machine-learning,Data Scientist|Data Analyst|Machine Learning Engineer
machine-learning,Machine Learning,ml|machine learning basics,Machine Learning,Core supervised and unsupervised ML concepts.,statistics,,feature-engineering|supervised-learning|unsupervised-learning,Machine Learning Engineer|Data Scientist
feature-engineering,Feature Engineering,feature engineering ml,Machine Learning,Transforming raw data into useful model features.,machine-learning,,supervised-learning,Machine Learning Engineer|Data Scientist
supervised-learning,Supervised Learning,classification|regression,Machine Learning,Supervised learning algorithms and evaluation.,machine-learning,,time-series,Machine Learning Engineer|Data Scientist
unsupervised-learning,Unsupervised Learning,clustering|dimensionality reduction,Machine Learning,Unsupervised learning methods.,machine-learning,,,Machine Learning Engineer|Data Scientist
time-series,Time Series,forecasting|time series,Machine Learning,Modeling temporal data and forecasting.,statistics,,,Machine Learning Engineer|Data Scientist|Data Analyst
reinforcement-learning,Reinforcement Learning,rl,Machine Learning,"Learning through rewards, policies, and environments.",machine-learning,,,Machine Learning Engineer|Deep Learning Engineer
deep-learning,Deep Learning,deep neural networks,Deep Learning,Neural networks and deep representation learning.,machine-learning,,neural-networks|computer-vision|nlp,Deep Learning Engineer|Machine Learning Engineer|NLP Engineer|Computer Vision Engineer
tensorflow,TensorFlow,tensorflow deep learning,Deep Learning,Deep learning development with TensorFlow.,deep-learning,,transfer-learning,Deep Learning Engineer|Computer Vision Engineer|NLP Engineer
pytorch,PyTorch,pytorch deep learning,Deep Learning,Deep learning development with PyTorch.,deep-learning,,transfer-learning|nlp|computer-vision,Deep Learning Engineer|NLP Engineer|Computer Vision Engineer|Machine Learning Engineer
neural-networks,Neural Networks,advanced neural networks,Deep Learning,Advanced neural network architectures and training techniques.,deep-learning,,,Deep Learning Engineer|Machine Learning Engineer
computer-vision,Computer Vision,cv|image processing,Deep Learning,"Vision systems, image processing, and visual learning.",deep-learning,,opencv|transfer-learning,Computer Vision Engineer|Deep Learning Engineer
opencv,OpenCV,computer vision opencv,Deep Learning,Computer vision application development with OpenCV.,computer-vision,,,Computer Vision Engineer
nlp,Natural Language Processing,nlp|text processing,Deep Learning,Language data processing and NLP modeling.,machine-learning,,deep-learning|genai,NLP Engineer|AI/LLM Engineer|Data Scientist
transfer-learning,Transfer Learning,fine tuning|fine-tuning,Deep Learning,Adapting pretrained models to new tasks.,deep-learning,,computer-vision|nlp,Computer Vision Engineer|NLP Engineer|Deep Learning Engineer|AI/LLM Engineer
genai,Generative AI,generative ai|genai,AI/ML,Generative model concepts and application development.,nlp,,prompt-engineering|rag|llm,AI/LLM Engineer|NLP Engineer
prompt-engineering,Prompt Engineering,llm prompting,AI/ML,Designing and evaluating prompts for generative AI systems.,genai,,rag,AI/LLM Engineer
llm,Large Language Models,llms|language models,AI/ML,Working with modern language models as application components.,nlp,,rag|evaluation,AI/LLM Engineer|NLP Engineer
rag,Retrieval-Augmented Generation,rag|retrieval augmented generation,AI/ML,Grounding language-model outputs with retrieved knowledge.,llm,,vector-databases|evaluation,AI/LLM Engineer
vector-databases,Vector Databases,vector search|embeddings database,AI/ML,Vector storage and similarity retrieval for AI applications.,rag,,,AI/LLM Engineer|MLOps Engineer
evaluation,AI Evaluation,llm evaluation|model evaluation,AI/ML,"Evaluating AI system quality, reliability, and failure modes.",llm,,,AI/LLM Engineer|MLOps Engineer
mlops,MLOps,ml operations,MLOps,Operating machine-learning systems in production.,machine-learning,,model-serving|monitoring,MLOps Engineer|Machine Learning Engineer|AI/LLM Engineer
model-serving,Model Serving,inference api|model deployment,MLOps,Serving trained models behind reliable inference interfaces.,mlops,,docker|cicd|monitoring,MLOps Engineer|Machine Learning Engineer|AI/LLM Engineer
monitoring,Monitoring and Observability,observability|metrics logs traces,DevOps,Monitoring applications and infrastructure in production.,linux,,kubernetes,DevOps Engineer|Cloud Engineer|SRE|MLOps Engineer
testing,Software Testing,unit testing|integration testing,Software Engineering,Testing strategies for maintainable software.,git,,deployment,Frontend Developer|Backend Developer|Full Stack Developer|Python Developer|JavaScript Developer
authentication,Authentication and Authorization,auth|oauth|jwt,Software Engineering,Application authentication and authorization concepts.,rest-api,,,Backend Developer|Full Stack Developer|Cybersecurity Engineer
deployment,Application Deployment,deployment|production deployment,Software Engineering,Deploying applications reliably to production.,docker,,monitoring,Frontend Developer|Backend Developer|Full Stack Developer|DevOps Engineer|Cloud Engineer
system-design,System Design,architecture|distributed systems design,Software Engineering,Designing scalable software systems and services.,rest-api,,,Backend Developer|Full Stack Developer|Systems Engineer|SRE
software-architecture,Software Architecture,clean architecture|architecture patterns,Software Engineering,Structuring maintainable software systems and components.,system-design,,,Backend Developer|Full Stack Developer|Systems Engineer
spring-boot,Spring Boot,spring framework|springboot,Web Development,Java backend development with Spring Boot.,java,java,rest-api|postgresql,Backend Developer|Full Stack Developer|JavaScript Developer
transformers,Transformers,transformer models|transformer architecture,Deep Learning,Transformer architectures for modern NLP and AI systems.,deep-learning,deep-learning|nlp,llm|genai,NLP Engineer|AI/LLM Engineer|Deep Learning Engineer
