skill_id,canonical_name,domain,aliases,parent_skill,prerequisite_skill_ids,applicable_roles,description
ml-fundamentals,Machine Learning Fundamentals,Machine Learning,,,linear-algebra;probability-statistics;python-for-data-science,Machine Learning Engineer;Data Scientist,"Core ML concepts: training, evaluation, bias/variance, model families."
feature-engineering,Feature Engineering,Machine Learning,,ml-fundamentals,,Machine Learning Engineer;Data Scientist,Transforming raw data into model-ready features.
supervised-learning,Supervised Learning,Machine Learning,,ml-fundamentals,,Machine Learning Engineer;Data Scientist,Classification/regression algorithms trained on labeled data.
unsupervised-learning,Unsupervised Learning,Machine Learning,,ml-fundamentals,,Machine Learning Engineer;Data Scientist,Clustering and pattern discovery on unlabeled data.
time-series-analysis,Time Series Analysis,Machine Learning,,supervised-learning,,Machine Learning Engineer;Data Scientist,Forecasting and modeling sequential/temporal data.
reinforcement-learning,Reinforcement Learning,Machine Learning,,supervised-learning,,Machine Learning Engineer,Learning optimal actions via reward signals.
dl-tensorflow,Deep Learning with TensorFlow,Deep Learning,,,ml-fundamentals;feature-engineering,Deep Learning Engineer;Machine Learning Engineer,Building neural networks with TensorFlow/Keras.
dl-pytorch,Deep Learning with PyTorch,Deep Learning,,,ml-fundamentals;feature-engineering,Deep Learning Engineer;Machine Learning Engineer,Building neural networks with PyTorch.
advanced-neural-networks,Advanced Neural Networks,Deep Learning,,,dl-tensorflow;dl-pytorch,Deep Learning Engineer,"Deeper architectures: CNNs, RNNs, regularization, optimization tricks."
computer-vision,Computer Vision,Deep Learning,OpenCV,advanced-neural-networks,,Computer Vision Engineer;Deep Learning Engineer,Image/video understanding with deep learning and OpenCV.
nlp,Natural Language Processing,Deep Learning,NLP,advanced-neural-networks,,NLP Engineer;Deep Learning Engineer;AI/LLM Engineer,Text understanding and generation with deep learning.
transfer-learning,Transfer Learning & Fine-tuning,Deep Learning,,advanced-neural-networks,,Deep Learning Engineer;NLP Engineer;Computer Vision Engineer;AI/LLM Engineer,Adapting pretrained models to new tasks efficiently.
generative-ai,Generative AI & Prompt Engineering,Deep Learning,GenAI;LLMs,transfer-learning,,NLP Engineer;Deep Learning Engineer;AI/LLM Engineer,Working with large generative/language models and prompting.
mlops,MLOps & Model Deployment,MLOps,,,dl-tensorflow;docker,MLOps Engineer;Deep Learning Engineer;Machine Learning Engineer,"Deploying, monitoring, and maintaining ML models in production."
mlops-orchestration,MLOps Pipeline Orchestration,MLOps,,mlops,cicd,MLOps Engineer,"Automating the train-validate-deploy lifecycle as a managed, repeatable pipeline rather than manual steps."
app-security,Application Security & Secure Coding,Security,AppSec,ethical-hacking,,Cybersecurity Engineer;Backend Developer,Writing and reviewing code to avoid the vulnerability classes ethical hacking teaches you to exploit.
cloud-security,Cloud Security Fundamentals,Security,,cybersecurity-fundamentals,aws-practitioner,Cybersecurity Engineer;Cloud Engineer,"Identity, network, and data security specifically in a cloud provider's shared-responsibility model."
web3-frontend,Web3 Frontend Integration,Blockchain,dApp Frontend,solidity,react,Blockchain Developer;Frontend Developer,"Connecting a web frontend to deployed smart contracts — wallets, signing, and on-chain state in the UI."
tokenomics,DeFi Protocols & Tokenomics,Blockchain,,solidity,,Blockchain Developer,"How decentralized finance protocols design incentives, liquidity, and token economics."
os-fundamentals,Operating Systems Fundamentals,Systems,Operating Systems;Operating Systems Fundamentals,,,Systems Engineer;DevOps Engineer,"Processes, memory management, scheduling, and file systems — the foundation embedded and systems work builds on."
networking-fundamentals,Computer Networking Fundamentals,Systems,,linux,,Systems Engineer;DevOps Engineer;Cybersecurity Engineer,"How data actually moves between machines — protocols, addressing, and troubleshooting connectivity."
testing-debugging,Testing & Debugging Fundamentals,Developer Tools,,,,Backend Developer;Frontend Developer;Full Stack Developer;DevOps Engineer,"Systematically isolating bugs and writing tests that actually catch regressions, not just happy-path checks."
clean-code,Code Review & Clean Code Practices,Developer Tools,,git,,Backend Developer;Frontend Developer;Full Stack Developer,"Reading and giving feedback on real code, and writing code that's easy for someone else to review."
mlops-fundamentals,MLOps Fundamentals,MLOps,,,,MLOps Engineer;Machine Learning Engineer,"Core practices before deployment: experiment tracking, versioning, and reproducibility for ML work."
ml-pipeline-orchestration,ML Pipeline Orchestration,MLOps,,mlops-fundamentals,docker,MLOps Engineer;Machine Learning Engineer,"Chaining data prep, training, and evaluation into a single automated, repeatable pipeline."
model-monitoring,Model Monitoring & Observability,MLOps,,mlops,,MLOps Engineer;Machine Learning Engineer;Deep Learning Engineer,Tracking a deployed model's input distribution and prediction quality over time to catch drift before it causes damage.
advanced-git,Advanced Git Workflows,Developer Tools,,git,,Backend Developer;Frontend Developer;Full Stack Developer;DevOps Engineer;Data Engineer;Machine Learning Engineer;Systems Engineer,"Branching strategies, rebasing, and code-review workflows for working on a real team codebase."
shell-scripting,Shell Scripting for Automation,Developer Tools,,linux,,DevOps Engineer;Systems Engineer;Backend Developer;Data Engineer,Automating repetitive operational tasks with bash scripts instead of doing them by hand.
debugging-profiling,Debugging & Profiling Tools,Developer Tools,,shell-scripting,linux,Backend Developer;DevOps Engineer;Systems Engineer,Diagnosing real performance and correctness issues with a debugger and profiler instead of guesswork.
security-operations,Security Operations & Incident Response,Security,SOC,cybersecurity-fundamentals,,Cybersecurity Engineer,"Detecting, triaging, and responding to security incidents as they happen, the defensive counterpart to ethical hacking."
advanced-pentesting,Advanced Penetration Testing,Security,Red Teaming,ethical-hacking,,Cybersecurity Engineer,"Structured, scoped offensive-security engagements that go beyond basic vulnerability scanning."
blockchain-fundamentals,Blockchain & Cryptography Fundamentals,Blockchain,,,,Blockchain Developer,"How hashing, consensus mechanisms, and wallets actually work, before writing any blockchain application code."
web3-js,Web3 Development with JavaScript,Blockchain,Web3,blockchain-fundamentals,javascript,Blockchain Developer;Full Stack Developer,"Connecting a frontend application to a blockchain — wallets, transactions, and contract calls from client code."
rtos-programming,Real-Time Operating Systems (RTOS) Programming,Systems,RTOS,embedded-systems,,Systems Engineer,"Programming under hard timing constraints using a real-time OS, where a late response is as wrong as an incorrect one."
